After "Aftır" - Sonra
Agreed "Egriid" - Anlaşıldı, Kararlaştırıldı	
Answer "Ensvır" - Cevap	
Art "Art" - Sanat	
Abandon "Ebendın" - Terk Etmek, Bırakmak	
Ability "Ebiliti" - Hüner, Beceri, Kabiliyet	
Nut	Kuruyemi̇ş -(Fındık vs.)	Nat
Narrate	Anlatmak, -Söylemek	Nerreyt
Nasty	Pi̇s, -Kötü Kokulu, Hoş Olmayan	Nasti
Negotiate	Görüşmek, -Müzakere	Negoşieyt
Network	Şebeke, -Çalışma Ağı	Netvörk
Nickname	Takma -isim, Lakap	Nikneym
Nominate	Aday -Göstermek	Nomineyt
Obey	Söz -Di̇nlemek, İtaat Etmek	Obey
Object -(v)	İti̇raz Etmek	Objekt
Object -(n)	Nesne, Obje/ Amaç	Objekt
Observe	Gözlem -Yapmak	Obsörv
Occupation	Meslek, -İşgal	Okkupeyşın
Occupy	İşgal -Etmek, Oturmak, Kaplamak	Okkupay
October	Eki̇m -(Ayı)	Oktobır
Of	İyeli̇k -Eki̇, -Nin	Of
Off	Yok -Olma/, Eksi̇lmek/ Kapatmak	Off
Offend	Kızdırmak, -İnci̇tmek (Birini)	Offend
Offer	Tekli̇f -Etmek	Offır
Officer	Subay, -Memur	Offisır
Often	Sık -Sık	Ofın
Oil	Yağ/ -Petrol	Oyl
Old	Eski̇, -Yaşlı	Old
Once	Bi̇r -Kez, Bi̇r An Önce	Vans
Only	Sadece, -Yalnızca	Onli
Open	Açık, -Açmak	Opın
Operation	Operasyon, -Ameli̇yat	Opıreyşın
Opposite	Zıt, -Ters	Oppozit
Orange	Portakal/ -Turuncu	Orınç
Order	Emi̇r, -Si̇pari̇ş, Düzen, Sıra	Ordır
Ordinary	Sıradan, -Normal	Ordineri
Organ	Org, -Organ, Organi̇zasyon, Kuruluş	Orgın
Organize	Organi̇ze -Etmek	Orgınayz
Origin	Köken, -Ori̇ji̇n	Orijin
Otherwise	Başka -Türlü, Yoksa, Aksi̇ Takti̇rde	Adırvays
Out-of-date	Modası -Geçmi̇ş, Eski̇	Aut-of-deyt
Over	Üstünde/ -Bi̇tmek	Ovır
Overcome	Üstesi̇nden -Gelmek	Ovurkam
Owe	Borçlu -Olmak	Ov
Own	Sahi̇p -Olmak	Ovn
Odd	Tuhaf, -Acayip	Odd
Old-fashioned	Eski̇ -Moda	Old-feşhınd
Option	Seçme, -Seçenek	Opşın
Original	Orji̇nal, -İlk, Yeni̇	Orijinıl
Pain	Acı, -Ağrı	Peyn
Paint	Boyamak, -Boya	Peynt
Painter	Ressam, -Boyacı	Peyntır
Pale	Soluk, -Solgun (Renk)	Peyl
Paper	Kağıt, -Gazete, Evrak, Ki̇mli̇k	Peypır
Parent	Anne-Baba, -Ebeveyn	Perınt
Park	Park, -Park Etmek	Park
Part	Kısım, -Bölüm, Ayırmak	Part
Particular	Yalnız, -Özel, Ti̇ti̇z	Partikülır
Partner	Ortak, -Partner	Partnır
Part-time	Yarım -Gün	Part-taym
Pass	Geçmek, -Geçi̇rmek	Pess
Patient -(adj.)	Sabırlı	Peyşınt
Patient -(n)	Hasta	Peyşınt
Pen	Tükenmez -Kalem	Pen
Pencil	Kurşun -Kalem	Pensıl
People	Halk, -İnsanlar	Piipıl
Perfect	Kusursuz, -Yetki̇n	Pörfekt
Perform	Çalışmak, -Uygulamak	Pörform
Permit	İzi̇n -Vermek, İzi̇n Kağıdı	Pörmit
Persuade	İkna -Etmek	Pörsuveyd
Pie	Pasta, -Turta	Pay
Pile	Üst -Üste Koymak	Payl
Pin	Toplu -İğne	Pin
Pipe	Boru/ -Pi̇po/ Flüt	Payp
Pity	Acımak -(What A Pity: Ne Yazık)	Piti
Place	Yer/ -Yerleşti̇rmek	Pleys
Plain	Açık, -Ortada, Düz	Pleyn
Plan	Plan, -Planlama	Plen
Plantation	Eki̇li̇ -Yer	Plenteyşın
Play	Oynamak/ -Çalmak (Bir Müzik Aletini)	Pley
Player	Oyuncu, -Çalan	Pleyır
Pleasant	Keyi̇fli̇, -Zevkli̇	Plezınt
Plenty	Çok -Sayıda	Plenti
Plough	Toprağı -Sürmek	Ploh
Plug	Fi̇ş, -Banyo Tıkacı	Plag
Poetry	Şi̇i̇rler, -Şai̇rli̇k, Şi̇i̇rle İlgi̇li̇	Poetri
Point	Nokta, -Uç	Poynt
Policy	Poli̇çe, -Yöneti̇m İlkesi̇, Poli̇ti̇ka	Polisi
Politician	Poli̇ti̇kacı, -Poli̇ti̇kayla Uğraşan	Politişın
Poor	Fakir, -Yoksul, Zavallı	Poor
Pork	Domuz -Eti̇	Pork
Position	Durum, -Konum	Pozişın
Positive	Emi̇n, -Kesi̇n/ Olumlu	Positiv
Possess	Sahi̇p -Olmak	Posses
Possible	Olası, -Mümkün	Possibıl
Post	Posta, -İşaret, Devri̇ye Gezmek (Askerde)	Post
Pour	Dökmek, -Akıtmak	Poor
Powder	Toz, -Pudra	Povdır
Practise	Alıştırma -Yapmak	Prektis
Pray	Dua -Etmek	Prey
Preach	Vaaz -Vermek	Priiç
Predict	Tahmi̇n -Etmek	Predikt
Prefer	Yeğlemek, -Terci̇h Etmek	Preför
Present	Burada, -Mevcut, Şi̇mdi̇ki̇, Armağan	Presınt
Press	Baskı, -Ütüleme, Basin	Press
Press	Baskı -Yapmak, Basmak	Press
Pressure	Basınç, -Baskı	Pıreşşur
Pretend	Gi̇bi̇ -Gözükmek, Takli̇t Yapmak	Pretend
Pretty	Sevi̇mli̇, -Oldukça	Pretti
Pride	Onur, -Gurur	Prayd
Principal	En -Önemli̇, Prensi̇p, Ana Para (Borçta)	Pırinsipıl
Print	Basmak -(Harfler vs.), İz	Pıritn
Prisoner	Mahkum, -Esi̇r	Prisınır
Problem	Sorun, -Problem	Prablım
Promise	Söz -Vermek	Pıromis
Pronounce	Telaffuz -Etmek	Pıranauns
Proper	Uygun, -Doğru	Pıropır
Property	Mal, -Mülk (Bir Kişinin Sahip Olduğu), Eşya	Pıropeti
Proposal	Plan, -Öneri̇	Pırposıl
Propose	Planını -Açıklamak, Evli̇li̇k Tekli̇f Etmek	Purpos
Provide	Sağlamak, -Tedari̇k Etmek	Pırovayd
Pub	Pab, -Bi̇rahane	Pab
Public	Halk -(Public Sector: Devlet Sektörü )	Pablik
Publish	Basım -(Bir Yayını)	Pabliş
Pullover	Kazak/ -Arabayı Durdurmak, Kenara Çekmek	Pullovır
Punch	Delmek/ -Yumruklamak	Panç
Pupil	Öğrenci̇/ -Gözbebeği̇	Püypil
Puppy	Genç -Köpek	Pppi
Purchase	Satın -Almak	Pörçıs
Puzzle	Bulmaca, -Problem	Pazzıl
Packed	Kalabalık, -Bi̇r Sürü İnsan	Pakd
Palm	Avuç/ -Palmiye Ağacı	Polm
Pants	Don/ -Pantolon	Pents
